Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
2.606635071090047,37,2020,1,0,3242,95,37,15,167,19,25.86,0,0,14,3,0.443113772,104.38,0,0.0,362.4,2176.0,97.0,8.0,0.0,6.92,22.43,166.0,7.55,105.06,21.94,6.77,95.0,24.74,92.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,17.25,12.0,8.63,30.77,1983,0,0,1,0,0,1
0.2,40,2022,0,1,3245,8,2,0,3,3,37.0,0,0,0,0,0.0,50.0,0,0.0,32.0,192.0,8.0,0.0,0.0,9.25,24.0,3.0,1.5,50.0,24.0,9.25,8.0,37.0,8.0,8.0,2.0,3.0,3.0,1.5,0.0,0.24,32.0,8.0,37.0,24.0,9.25,14.04,1982,0,0,1,0,1,0
7.482993197278911,28,2013,0,0,3332,82,30,15,52,10,25.98,0,0,2,1,0.269230769,68.42,0,0.0,295.5,1775.0,90.0,11.0,2.0,7.9,19.72,52.0,3.47,68.42,19.78,7.75,74.0,25.57,67.0,11.0,5.0,3.0,6.0,3.0,50.0,0.37,41.0,10.0,31.8,24.6,7.76,17.24,1985,0,0,1,0,1,0
0.5357142857142857,31,2016,0,0,3332,82,30,15,52,10,25.98,0,0,2,1,0.269230769,68.42,0,0.0,295.5,1775.0,90.0,11.0,2.0,7.9,19.72,52.0,3.47,68.42,19.57,7.85,87.0,25.6,78.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,13.0,25.77,18.38,8.41,17.11,1985,0,0,1,0,1,0
3.353658536585366,36,2017,1,0,3334,54,29,16,160,16,27.92,0,0,9,7,0.4875,99.38,0,0.0,205.2,1232.0,61.0,3.0,0.0,8.29,20.2,131.0,10.08,96.32,18.96,8.19,52.0,25.88,43.0,3.0,3.0,4.0,5.0,2.5,35.71,1.15,11.0,2.0,53.0,33.0,9.64,15.38,1981,0,0,1,0,0,1
2.239208633093525,37,2018,1,1,3334,54,29,16,160,16,27.92,0,0,9,7,0.4875,99.38,0,0.0,205.2,1232.0,61.0,3.0,0.0,8.29,20.2,144.0,11.08,96.0,18.75,8.07,57.0,25.2,48.0,5.0,2.0,13.0,13.0,0.0,92.86,1.83,20.0,7.0,20.14,17.14,7.05,18.92,1981,0,0,1,0,0,1
8.79739336492891,32,2020,0,0,3351,181,86,34,609,24,26.79,0,0,55,19,0.548440066,111.13,0,0.0,606.4,3640.0,179.0,13.0,2.0,7.91,20.34,584.0,11.92,111.45,20.83,7.82,150.0,27.15,157.0,13.0,5.0,14.0,42.0,14.0,113.51,1.8,44.3,10.0,39.9,26.7,8.97,18.18,1988,0,0,1,0,1,0
6.452743902439025,26,2014,0,1,3351,181,86,34,609,24,26.79,0,0,55,19,0.548440066,111.13,0,0.0,606.4,3640.0,179.0,13.0,2.0,7.91,20.34,401.0,12.94,112.96,21.24,7.52,83.0,26.63,87.0,16.0,11.0,23.0,64.0,10.67,112.28,2.64,58.2,11.0,38.0,31.82,7.17,13.25,1988,0,0,1,0,1,0
4.702338129496402,30,2018,0,1,3351,181,86,34,609,24,26.79,0,0,55,19,0.548440066,111.13,0,0.0,606.4,3640.0,179.0,13.0,2.0,7.91,20.34,515.0,12.26,113.69,20.34,7.63,125.0,25.88,129.0,6.0,1.0,2.0,2.0,2.0,33.33,0.23,20.0,6.0,29.83,20.0,8.95,17.14,1988,0,0,1,0,1,0
2.4,33,2021,0,0,3351,181,86,34,609,24,26.79,0,0,55,19,0.548440066,111.13,0,0.0,606.4,3640.0,179.0,13.0,2.0,7.91,20.34,584.0,11.92,111.45,20.83,7.87,156.0,27.33,164.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,31.83,21.0,9.1,15.38,1988,0,0,1,0,1,0
4.251219512195122,30,2014,1,1,3451,70,23,12,126,23,27.13,0,0,11,5,0.587301587,140.0,0,0.0,271.3,1629.0,77.0,6.0,1.0,7.69,21.16,117.0,10.64,140.96,21.33,7.62,45.0,27.09,41.0,10.0,6.0,23.0,57.0,11.4,196.55,3.94,40.0,7.0,47.86,34.29,8.38,14.58,1984,0,0,1,0,0,1
1.5182926829268293,31,2014,1,1,3455,17,1,1,0,0,21.77,0,0,0,0,0.0,0.0,0,0.0,62.0,372.0,22.0,1.0,0.0,7.73,16.91,0.0,0.0,0.0,14.57,6.85,13.0,16.64,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,14.0,16.64,14.57,6.85,24.14,1983,0,0,1,0,0,1
6.785714285714285,28,2016,0,0,3470,101,26,20,56,10,35.5,0,0,4,2,0.5,90.32,0,0.0,357.5,2147.0,82.0,3.0,1.0,8.14,26.18,37.0,9.25,80.43,26.05,7.96,55.0,34.58,66.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,159.0,84.0,11.36,4.55,1988,0,0,1,0,1,0
3.9475609756097563,26,2014,0,1,3470,101,26,20,56,10,35.5,0,0,4,2,0.5,90.32,0,0.0,357.5,2147.0,82.0,3.0,1.0,8.14,26.18,37.0,9.25,80.43,25.16,7.68,51.0,32.2,59.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,59.4,15.0,31.07,23.87,7.81,14.56,1988,0,0,1,0,1,0
