,Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
153,3.358812949640287,28,2018,0,1,3993,110,26,13,74,21,26.87,0,0,6,2,0.486486486,92.5,0,0.0,404.2,2426.0,127.0,13.0,2.0,8.44,19.1,46.0,6.57,102.22,34.72,8.97,18.0,51.89,31.0,8.0,6.0,21.0,36.0,9.0,150.0,2.95,26.0,5.0,48.6,31.2,9.35,13.51,1990,0,0,1,0,1,0
154,1.2146341463414636,27,2014,1,1,3995,21,17,6,238,39,42.9,2,0,15,19,0.731092437,168.79,0,0.0,46.5,281.0,10.0,0.0,0.0,9.16,28.1,238.0,21.64,168.79,28.1,9.16,10.0,42.9,21.0,4.0,3.0,13.0,18.0,9.0,105.88,3.56,3.0,0.0,51.0,25.5,196.15,7.73,1987,0,0,1,0,0,1
155,13.095238095238097,22,2013,1,0,3996,15,4,1,36,26,24.89,0,0,2,1,0.388888889,92.31,0,0.0,55.5,335.0,19.0,1.0,0.0,8.47,17.63,36.0,12.0,92.31,17.61,8.4,17.0,24.67,14.0,3.0,1.0,1.0,1.0,0.0,0.0,0.14,2.0,0.0,34.0,17.0,94.44,8.76,1991,0,0,1,0,0,1
156,5.213270142180094,29,2020,1,0,3996,15,4,1,36,26,24.89,0,0,2,1,0.388888889,92.31,0,0.0,55.5,335.0,19.0,1.0,0.0,8.47,17.63,36.0,12.0,92.31,17.61,8.4,17.0,24.67,14.0,4.0,1.0,1.0,1.0,0.0,0.0,0.14,14.0,7.0,19.57,12.0,9.79,33.33,1991,0,0,1,0,0,1
157,3.571428571428571,25,2016,1,0,3996,15,4,1,36,26,24.89,0,0,2,1,0.388888889,92.31,0,0.0,55.5,335.0,19.0,1.0,0.0,8.47,17.63,35.0,11.67,92.11,21.18,7.91,10.0,27.91,10.0,7.0,1.0,1.0,1.0,1.0,0.0,0.1,27.0,9.0,22.89,18.0,7.63,19.57,1991,0,0,1,0,0,1
158,1.138719512195122,23,2014,1,1,3998,46,27,6,259,47,27.57,1,0,13,18,0.617760618,122.75,1,0.037037037,165.5,995.0,53.0,8.0,1.0,8.81,18.77,189.0,14.54,121.15,60.0,8.4,2.0,84.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,84.0,60.0,8.4,5.88,1991,0,0,1,0,0,1
159,0.3741496598639455,22,2013,1,0,3998,46,27,6,259,47,27.57,1,0,13,18,0.617760618,122.75,1,0.037037037,165.5,995.0,53.0,8.0,1.0,8.81,18.77,189.0,14.54,121.15,16.43,8.2,32.0,22.46,26.0,8.0,7.0,47.0,85.0,14.17,118.06,7.41,7.0,0.0,85.0,14.17,118.06,7.41,1991,0,0,1,0,0,1
160,10.426540284360188,33,2020,1,0,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,15.64,7.66,36.0,19.97,26.0,8.0,3.0,6.0,14.0,4.67,116.67,1.25,28.2,15.0,15.2,11.33,8.05,30.61,1987,0,0,1,0,0,1
161,5.0,34,2021,1,0,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,17.54,7.72,40.0,22.56,33.0,7.0,2.0,24.0,25.0,25.0,166.67,2.36,26.0,5.0,41.2,31.2,7.92,11.36,1987,0,0,1,0,0,1
162,5.868902439024391,30,2017,1,0,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,18.71,7.5,21.0,23.38,18.0,4.0,2.0,7.0,9.0,0.0,64.29,1.7,15.0,3.0,38.0,30.0,7.6,17.65,1987,0,0,1,0,0,1
163,8.418367346938775,26,2013,1,0,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,17.48,7.52,47.0,21.92,38.0,5.0,2.0,3.0,4.0,2.0,80.0,0.52,2.0,0.0,4.0,2.0,80.0,0.52,1987,0,0,1,0,0,1
164,2.4631294964028774,31,2018,1,1,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,15.64,7.66,36.0,19.97,26.0,8.0,3.0,6.0,14.0,4.67,116.67,1.25,28.2,15.0,15.2,11.33,8.05,30.61,1987,0,0,1,0,0,1
165,2.0,35,2022,1,1,4001,39,17,6,82,24,22.92,0,0,7,4,0.634146341,113.89,0,0.0,142.5,857.0,48.0,7.0,2.0,7.7,17.85,9.0,9.0,150.0,17.48,7.52,47.0,21.92,38.0,5.0,2.0,3.0,4.0,2.0,80.0,0.52,20.0,7.0,18.14,17.14,6.35,21.21,1987,0,0,1,0,0,1
166,11.607142857142856,28,2016,0,0,4028,100,28,13,122,21,23.79,0,0,8,4,0.459016393,103.39,0,0.0,336.3,2019.0,119.0,14.0,4.0,8.41,16.97,29.0,7.25,111.54,17.0,7.8,57.0,22.09,47.0,16.0,6.0,21.0,28.0,9.33,155.56,1.08,57.0,14.0,34.36,24.43,8.44,13.21,1988,0,0,1,0,1,0
167,9.710451977401132,31,2019,0,0,4028,100,28,13,122,21,23.79,0,0,8,4,0.459016393,103.39,0,0.0,336.3,2019.0,119.0,14.0,4.0,8.41,16.97,122.0,8.13,106.09,19.02,8.4,90.0,26.64,84.0,9.0,4.0,4.0,10.0,10.0,76.92,0.67,29.4,7.0,46.0,25.43,10.85,14.29,1988,0,0,1,0,1,0
168,2.687050359712229,30,2018,0,1,4028,100,28,13,122,21,23.79,0,0,8,4,0.459016393,103.39,0,0.0,336.3,2019.0,119.0,14.0,4.0,8.41,16.97,112.0,8.0,109.8,18.48,8.12,83.0,25.01,75.0,14.0,7.0,13.0,51.0,8.5,102.0,2.31,45.4,13.0,31.54,21.08,8.98,17.81,1988,0,0,1,0,1,0
169,3.0365853658536586,26,2014,0,1,4028,100,28,13,122,21,23.79,0,0,8,4,0.459016393,103.39,0,0.0,336.3,2019.0,119.0,14.0,4.0,8.41,16.97,0.0,0.0,0.0,15.2,6.43,20.0,16.3,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,50.4,20.0,16.3,15.2,6.43,19.61,1988,0,0,1,0,1,0
170,0.6516587677725117,32,2020,0,0,4028,100,28,13,122,21,23.79,0,0,8,4,0.459016393,103.39,0,0.0,336.3,2019.0,119.0,14.0,4.0,8.41,16.97,122.0,8.13,104.27,19.01,8.41,91.0,26.65,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,27.0,18.0,9.0,20.0,1988,0,0,1,0,1,0
171,4.254496402877697,28,2018,0,1,4034,55,11,7,20,7,29.98,0,0,1,0,0.2,55.56,0,0.0,201.3,1209.0,58.0,4.0,1.0,8.63,20.84,20.0,5.0,55.56,19.23,8.45,22.0,27.09,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,35.4,16.0,18.75,13.38,8.41,23.88,1990,0,0,1,0,1,0
172,0.75,32,2022,0,1,4034,55,11,7,20,7,29.98,0,0,1,0,0.2,55.56,0,0.0,201.3,1209.0,58.0,4.0,1.0,8.63,20.84,20.0,5.0,55.56,20.43,8.59,58.0,29.24,54.0,8.0,2.0,7.0,8.0,0.0,100.0,0.67,30.0,7.0,35.29,25.71,8.23,15.56,1990,0,0,1,0,1,0
173,0.6832317073170732,24,2014,0,1,4034,55,11,7,20,7,29.98,0,0,1,0,0.2,55.56,0,0.0,201.3,1209.0,58.0,4.0,1.0,8.63,20.84,20.0,5.0,55.56,32.75,7.79,3.0,42.5,6.0,6.0,1.0,7.0,7.0,0.0,77.78,0.8,21.5,4.0,42.5,32.75,7.79,16.0,1990,0,0,1,0,1,0
174,0.1644736842105263,25,2015,0,0,4034,55,11,7,20,7,29.98,0,0,1,0,0.2,55.56,0,0.0,201.3,1209.0,58.0,4.0,1.0,8.63,20.84,20.0,5.0,55.56,34.83,8.5,6.0,49.33,11.0,5.0,1.0,2.0,2.0,0.0,0.0,0.26,13.0,2.0,63.0,39.0,9.69,8.33,1990,0,0,1,0,1,0
175,3.58273381294964,29,2018,0,1,4035,72,22,8,39,6,37.17,0,0,2,0,0.205128205,44.83,0,0.0,235.5,1415.0,48.0,1.0,0.0,7.56,29.48,26.0,2.17,37.14,30.14,7.1,37.0,35.65,55.0,7.0,4.0,2.0,2.0,0.67,22.22,0.18,17.5,6.0,19.83,17.83,6.67,12.77,1989,0,0,1,0,1,0
176,1.2905487804878049,25,2014,0,1,4035,72,22,8,39,6,37.17,0,0,2,0,0.205128205,44.83,0,0.0,235.5,1415.0,48.0,1.0,0.0,7.56,29.48,14.0,2.33,46.67,30.86,6.66,21.0,34.24,29.0,12.0,6.0,6.0,14.0,2.8,51.85,0.84,44.0,9.0,28.78,29.33,5.89,14.52,1989,0,0,1,0,1,0
177,0.5,33,2022,0,1,4035,72,22,8,39,6,37.17,0,0,2,0,0.205128205,44.83,0,0.0,235.5,1415.0,48.0,1.0,0.0,7.56,29.48,39.0,2.79,44.83,29.48,7.56,48.0,37.17,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,36.0,24.0,9.0,12.5,1989,0,0,1,0,1,0
178,0.1518292682926829,21,2014,0,1,4038,50,35,9,365,36,27.62,3,0,27,16,0.55890411,126.3,1,0.028571429,119.2,716.0,34.0,2.0,1.0,7.87,21.06,36.0,18.0,124.14,22.29,6.92,7.0,25.71,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1993,0,0,1,0,1,0
179,3.353658536585366,27,2017,0,0,4043,5,3,2,25,15,28.8,0,0,1,1,0.4,125.0,0,0.0,16.5,101.0,5.0,0.0,0.0,8.55,20.2,25.0,25.0,125.0,20.2,8.55,5.0,28.8,5.0,5.0,3.0,15.0,25.0,25.0,125.0,3.36,3.0,0.0,25.0,25.0,125.0,3.36,1990,0,0,1,0,1,0
180,0.3358812949640287,28,2018,0,1,4043,5,3,2,25,15,28.8,0,0,1,1,0.4,125.0,0,0.0,16.5,101.0,5.0,0.0,0.0,8.55,20.2,25.0,25.0,125.0,20.2,8.55,5.0,28.8,5.0,5.0,3.0,15.0,25.0,25.0,125.0,3.36,16.5,5.0,28.8,20.2,8.55,21.74,1990,0,0,1,0,1,0
181,3.358812949640287,25,2018,0,1,4048,116,27,21,54,9,27.4,0,0,4,0,0.296296296,77.14,0,0.0,432.2,2594.0,124.0,11.0,2.0,7.86,20.92,26.0,26.0,74.29,17.25,7.77,71.0,22.35,56.0,13.0,4.0,5.0,7.0,0.0,0.0,0.35,48.0,17.0,23.41,16.94,8.29,24.29,1993,0,0,1,0,1,0
